symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
IF2303,CFFEX,2022-07-18 09:29:00,4180.8,4180.8,4180.8,4180.8,3.0,3762720.0,3.0
IF2303,CFFEX,2022-07-18 09:30:00,4180.8,4180.8,4165.8,4171.8,5.0,6256320.0,8.0
IF2303,CFFEX,2022-07-18 09:31:00,4167.4,4167.4,4165.0,4165.0,3.0,3749940.0,11.0
IF2303,CFFEX,2022-07-18 09:32:00,4164.0,4164.8,4160.0,4163.0,12.0,14985060.0,23.0
IF2303,CFFEX,2022-07-18 09:33:00,4166.0,4168.0,4160.8,4163.0,12.0,14991120.0,35.0
IF2303,CFFEX,2022-07-18 09:34:00,4163.0,4165.4,4163.0,4165.4,7.0,8744040.0,42.0
IF2303,CFFEX,2022-07-18 09:35:00,4165.0,4165.0,4160.0,4161.6,8.0,9987960.0,50.0
IF2303,CFFEX,2022-07-18 09:36:00,4160.0,4160.0,4157.8,4159.4,13.0,16217160.0,63.0
IF2303,CFFEX,2022-07-18 09:37:00,4157.0,4157.6,4154.8,4154.8,9.0,11221500.0,72.0
IF2303,CFFEX,2022-07-18 09:38:00,4153.8,4153.8,4151.8,4151.8,2.0,2491680.0,74.0
IF2303,CFFEX,2022-07-18 09:39:00,4149.0,4149.6,4146.4,4146.4,4.0,4978140.0,78.0
IF2303,CFFEX,2022-07-18 09:40:00,4150.8,4150.8,4146.8,4146.8,5.0,6222780.0,83.0
IF2303,CFFEX,2022-07-18 09:41:00,4150.4,4151.8,4147.2,4151.8,3.0,3734820.0,86.0
IF2303,CFFEX,2022-07-18 09:42:00,4159.6,4159.6,4154.0,4156.6,15.0,18704340.0,100.0
IF2303,CFFEX,2022-07-18 09:43:00,4160.4,4168.2,4157.4,4167.2,6.0,7493760.0,106.0
IF2303,CFFEX,2022-07-18 09:44:00,4166.2,4166.2,4162.0,4162.0,6.0,7494600.0,112.0
IF2303,CFFEX,2022-07-18 09:45:00,4162.0,4162.0,4160.4,4160.4,8.0,9987720.0,120.0
IF2303,CFFEX,2022-07-18 09:46:00,4162.6,4165.4,4162.6,4165.4,4.0,4996380.0,124.0
IF2303,CFFEX,2022-07-18 09:47:00,4162.0,4162.0,4158.8,4159.2,5.0,6241200.0,129.0
IF2303,CFFEX,2022-07-18 09:48:00,4164.0,4168.0,4164.0,4166.4,5.0,6248760.0,134.0
IF2303,CFFEX,2022-07-18 09:49:00,4167.8,4167.8,4165.0,4165.0,4.0,4999200.0,138.0
IF2303,CFFEX,2022-07-18 09:50:00,4168.6,4171.8,4168.6,4170.4,9.0,11260560.0,146.0
IF2303,CFFEX,2022-07-18 09:51:00,4176.2,4176.2,4173.8,4173.8,2.0,2505000.0,148.0
IF2303,CFFEX,2022-07-18 09:52:00,4176.6,4176.6,4176.6,4176.6,1.0,1252980.0,148.0
IF2303,CFFEX,2022-07-18 09:53:00,4180.2,4181.2,4180.2,4181.2,7.0,8779440.0,155.0
IF2303,CFFEX,2022-07-18 09:54:00,4181.8,4185.2,4181.8,4185.2,5.0,6274200.0,160.0
IF2303,CFFEX,2022-07-18 09:55:00,4183.2,4183.2,4178.0,4178.0,6.0,7525680.0,164.0
IF2303,CFFEX,2022-07-18 09:56:00,4176.6,4178.2,4176.6,4178.0,10.0,12530820.0,174.0
IF2303,CFFEX,2022-07-18 09:57:00,4181.4,4183.6,4180.4,4182.0,10.0,12544980.0,184.0
IF2303,CFFEX,2022-07-18 09:58:00,4178.2,4181.0,4178.2,4181.0,2.0,2507760.0,186.0
IF2303,CFFEX,2022-07-18 09:59:00,4178.8,4178.8,4174.0,4174.0,6.0,7519920.0,192.0
IF2303,CFFEX,2022-07-18 10:00:00,4174.6,4178.0,4174.6,4178.0,8.0,10023540.0,200.0
IF2303,CFFEX,2022-07-18 10:01:00,4176.0,4180.0,4174.6,4178.8,16.0,20050980.0,216.0
IF2303,CFFEX,2022-07-18 10:02:00,4176.4,4177.2,4174.4,4176.2,8.0,10021320.0,224.0
IF2303,CFFEX,2022-07-18 10:03:00,4176.2,4176.2,4172.4,4172.4,5.0,6261360.0,229.0
IF2303,CFFEX,2022-07-18 10:04:00,4172.0,4176.0,4172.0,4172.4,12.0,15025140.0,241.0
IF2303,CFFEX,2022-07-18 10:05:00,4172.2,4172.2,4168.2,4170.8,10.0,12512700.0,250.0
IF2303,CFFEX,2022-07-18 10:06:00,4168.2,4171.0,4167.2,4167.2,7.0,8754780.0,257.0
IF2303,CFFEX,2022-07-18 10:07:00,4164.8,4166.2,4164.8,4165.2,7.0,8747040.0,264.0
IF2303,CFFEX,2022-07-18 10:08:00,4168.4,4168.4,4166.2,4166.2,4.0,5000460.0,268.0
IF2303,CFFEX,2022-07-18 10:09:00,4168.8,4169.6,4165.4,4169.6,7.0,8751060.0,275.0
IF2303,CFFEX,2022-07-18 10:10:00,4168.2,4168.2,4165.4,4167.4,6.0,7501020.0,281.0
IF2303,CFFEX,2022-07-18 10:11:00,4172.2,4172.2,4172.2,4172.2,1.0,1251660.0,282.0
IF2303,CFFEX,2022-07-18 10:12:00,4170.0,4170.0,4167.4,4167.4,5.0,6253020.0,287.0
IF2303,CFFEX,2022-07-18 10:13:00,4167.4,4167.4,4160.0,4160.0,4.0,4995660.0,290.0
IF2303,CFFEX,2022-07-18 10:14:00,4159.2,4159.8,4157.6,4159.8,4.0,4990860.0,294.0
IF2303,CFFEX,2022-07-18 10:15:00,4162.4,4164.6,4162.4,4163.8,7.0,8744040.0,301.0
